StudentID,Name,Age,Gender,Program,GPA,StudyHours,SleepHours,ExerciseHours,SocialMediaHours,MoodLevel,StressLevel,AttendanceRate (%),LetterGrade,SleepScore,ExerciseScore,MoodScore,StressScore,SocialMediaScore,StudyScore,WellbeingScore
1001,Robert,24,M,Applications,2.73,10.0,6.0,6.0,5,10,6,92.8,C+,0.6666666666666666,0.8571428571428571,1.0,0.4,0.375,0.5,67.22619047619048
1003,Charles,28,M,Applications,2.89,1.0,9.0,0.0,5,9,9,81.3,B-,1.0,0.0,0.9,0.09999999999999998,0.375,0.05,44.25
1004,Robert,25,M,Applications,3.19,14.0,9.0,5.0,6,10,7,77.95,B,1.0,0.7142857142857143,1.0,0.30000000000000004,0.25,0.7,69.78571428571429
1005,Joseph,24,,Data Science,2.28,13.0,8.0,4.0,1,5,1,80.975,C-,0.8888888888888888,0.5714285714285714,0.5,0.9,0.875,0.65,72.45634920634923
1006,Emily,28,F,Applications,3.17,19.0,6.0,3.0,5,7,7,75.97,B,0.6666666666666666,0.42857142857142855,0.7,0.30000000000000004,0.375,0.95,55.154761904761905
1007,Susan,28,F,Networking,2.57,21.0,5.0,2.0,2,2,5,80.975,C,0.5555555555555556,0.2857142857142857,0.2,0.5,0.75,1.05,48.82539682539683
1008,Joseph,21,M,Networking,3.54,10.0,7.0,3.0,4,9,5,92.32,A-,0.7777777777777778,0.42857142857142855,0.9,0.5,0.5,0.5,62.12698412698414
1009,Robert,25,M,Data Science,2.6,2.0,6.0,6.0,5,9,2,68.64,C+,0.6666666666666666,0.8571428571428571,0.9,0.8,0.375,0.1,69.22619047619048
1010,John,20,M,Applications,2.61,16.0,4.0,2.0,5,4,4,78.66,C+,0.4444444444444444,0.2857142857142857,0.4,0.6,0.375,0.8,46.3531746031746
1011,Sarah,19,F,Applications,3.27,12.0,8.0,1.0,6,4,6,92.67,B+,0.8888888888888888,0.14285714285714285,0.4,0.4,0.25,0.6,45.13492063492064
1012,Michael,29,M,Applications,3.01,23.0,4.0,0.0,4,6,10,62.7,B,0.4444444444444444,0.0,0.6,0.0,0.5,1.15,37.388888888888886
1013,Alice,23,F,Artificial Intelligence,4.0,20.0,3.0,5.0,1,10,7,75.5,A,0.3333333333333333,0.7142857142857143,1.0,0.30000000000000004,0.875,1.0,65.70238095238096
1014,Robert,19,M,Cybersecurity,2.02,14.0,9.0,4.0,6,10,5,94.07,D+,1.0,0.5714285714285714,1.0,0.5,0.25,0.7,70.92857142857142
1015,Elizabeth,18,,Artificial Intelligence,3.07,15.0,7.0,4.0,1,10,9,76.16,B,0.7777777777777778,0.5714285714285714,1.0,0.09999999999999998,0.875,0.75,65.23412698412699
1016,Alice,29,F,Cybersecurity,3.68,4.0,6.0,0.0,7,6,3,63.1,A,0.6666666666666666,0.0,0.6,0.7,0.125,0.2,42.583333333333336
1017,Karen,29,F,Applications,2.65,19.0,4.0,5.0,6,1,1,81.7,C+,0.4444444444444444,0.7142857142857143,0.1,0.9,0.25,0.95,55.17460317460318
1018,Joseph,34,M,Applications,2.45,12.0,7.0,0.0,4,9,4,94.47,C,0.7777777777777778,0.0,0.9,0.6,0.5,0.6,56.55555555555556
1019,Michael,27,M,Artificial Intelligence,2.48,18.0,3.0,1.0,0,2,9,83.61,C,0.3333333333333333,0.14285714285714285,0.2,0.09999999999999998,1.0,0.9,34.523809523809526
1020,Susan,33,F,Artificial Intelligence,2.03,24.0,6.0,2.0,4,5,4,69.05,D+,0.6666666666666666,0.2857142857142857,0.5,0.6,0.5,1.2,58.04761904761904
1021,Charles,32,M,Cybersecurity,3.81,12.0,5.0,6.0,4,9,2,75.37,A,0.5555555555555556,0.8571428571428571,0.9,0.8,0.5,0.6,73.25396825396825
1022,Joseph,32,M,Networking,2.8,2.0,8.0,4.0,1,4,10,78.0,B-,0.8888888888888888,0.5714285714285714,0.4,0.0,0.875,0.1,46.956349206349216
1023,Patricia,29,,Cybersecurity,2.73,12.0,7.0,1.0,1,3,5,83.17,C+,0.7777777777777778,0.14285714285714285,0.3,0.5,0.875,0.6,49.16269841269842
1024,Alice,20,F,Artificial Intelligence,1.73,5.0,7.0,2.0,4,7,3,90.37,D-,0.7777777777777778,0.2857142857142857,0.7,0.7,0.5,0.25,56.76984126984127
1025,Robert,22,M,Artificial Intelligence,2.14,14.0,5.0,1.0,4,6,9,63.95,D+,0.5555555555555556,0.14285714285714285,0.6,0.09999999999999998,0.5,0.7,39.96825396825397
1026,Joseph,24,M,Data Science,3.88,1.0,7.0,5.0,4,8,4,95.59,A,0.7777777777777778,0.7142857142857143,0.8,0.6,0.5,0.05,63.341269841269856
1027,Joseph,26,M,Artificial Intelligence,3.18,2.0,3.0,4.0,1,3,6,60.49,B,0.3333333333333333,0.5714285714285714,0.3,0.4,0.875,0.1,41.8452380952381
1028,Jennifer,24,F,Data Science,3.7,16.0,3.0,6.0,4,5,2,74.8,A,0.3333333333333333,0.8571428571428571,0.5,0.8,0.5,0.8,62.809523809523824
1029,William,35,M,Networking,3.62,24.0,5.0,0.0,4,10,6,80.975,A,0.5555555555555556,0.0,1.0,0.4,0.5,1.2,56.111111111111114
1030,Robert,21,M,Cybersecurity,2.4,23.0,8.0,0.0,7,4,3,75.72,C,0.8888888888888888,0.0,0.4,0.7,0.125,1.15,52.52777777777777
1032,Daniel,35,M,Data Science,4.0,17.0,4.0,6.0,0,4,2,80.47,A,0.4444444444444444,0.8571428571428571,0.4,0.8,1.0,0.85,68.53174603174604
1033,Mary,26,F,Cybersecurity,2.66,14.0,6.0,3.0,2,10,9,66.63,C+,0.6666666666666666,0.42857142857142855,1.0,0.09999999999999998,0.75,0.7,58.404761904761905
1034,Robert,19,M,Artificial Intelligence,0.86,11.0,7.0,3.0,0,8,5,80.975,F,0.7777777777777778,0.42857142857142855,0.8,0.5,1.0,0.55,65.62698412698413
1035,William,32,,Applications,2.79,15.0,4.0,2.0,3,6,8,61.79,C+,0.4444444444444444,0.2857142857142857,0.6,0.19999999999999996,0.625,0.75,44.35317460317461
1036,Robert,24,M,Data Science,3.14,7.0,5.0,3.0,2,3,2,90.48,B,0.5555555555555556,0.42857142857142855,0.3,0.8,0.75,0.35,52.682539682539684
1037,Michael,29,M,Cybersecurity,2.66,12.0,5.0,1.0,6,10,6,97.87,C+,0.5555555555555556,0.14285714285714285,1.0,0.4,0.25,0.6,50.468253968253975
1038,Charles,25,M,Data Science,2.87,24.0,8.0,5.0,4,5,3,73.59,B-,0.8888888888888888,0.7142857142857143,0.5,0.7,0.5,1.2,73.06349206349208
1039,David,32,M,Data Science,2.5,16.0,4.0,1.0,3,6,10,80.69,C,0.4444444444444444,0.14285714285714285,0.6,0.0,0.625,0.8,37.99603174603175
1040,Daniel,20,,Applications,3.55,20.0,3.0,6.0,7,5,5,75.16,A-,0.3333333333333333,0.8571428571428571,0.5,0.5,0.125,1.0,55.05952380952381
1041,Patricia,31,F,Artificial Intelligence,3.04,7.0,4.0,4.0,6,6,8,60.27,B,0.4444444444444444,0.5714285714285714,0.6,0.19999999999999996,0.25,0.35,42.317460317460316
1042,Susan,34,F,Data Science,3.57,12.0,7.0,5.0,4,8,10,75.43,A-,0.7777777777777778,0.7142857142857143,0.8,0.0,0.5,0.6,56.84126984126985
1043,Sarah,21,F,Cybersecurity,3.73,13.0,3.0,3.0,1,7,1,91.67,A,0.3333333333333333,0.42857142857142855,0.7,0.9,0.875,0.65,62.48809523809524
1044,Brian,35,M,Networking,1.7,17.0,9.0,4.0,5,5,5,83.84,D-,1.0,0.5714285714285714,0.5,0.5,0.375,0.85,63.678571428571416
1045,Karen,25,F,Data Science,2.54,19.0,9.0,0.0,3,10,3,64.05,C,1.0,0.0,1.0,0.7,0.625,0.95,69.75
1046,David,21,M,Data Science,2.63,6.0,9.0,3.0,1,6,4,93.89,C+,1.0,0.42857142857142855,0.6,0.6,0.875,0.3,64.32142857142857
1047,Susan,19,F,Applications,4.0,2.0,5.0,2.0,3,4,2,81.24,A,0.5555555555555556,0.2857142857142857,0.4,0.8,0.625,0.1,48.07539682539683
1048,James,23,M,Artificial Intelligence,3.09,11.0,4.0,0.0,7,9,9,93.67,B,0.4444444444444444,0.0,0.9,0.09999999999999998,0.125,0.55,35.63888888888889
1049,John,27,M,Networking,3.49,20.0,9.0,0.0,3,4,3,83.21,A-,1.0,0.0,0.4,0.7,0.625,1.0,58.25
1050,James,21,M,Cybersecurity,1.87,23.0,6.0,2.0,1,1,2,82.39,D,0.6666666666666666,0.2857142857142857,0.1,0.8,0.875,1.15,57.29761904761905
1051,David,35,M,Networking,3.09,2.0,6.0,5.0,7,7,10,80.975,B,0.6666666666666666,0.7142857142857143,0.7,0.0,0.125,0.1,43.86904761904763
1052,John,29,M,Cybersecurity,3.59,19.0,6.0,0.0,2,7,9,66.69,A-,0.6666666666666666,0.0,0.7,0.09999999999999998,0.75,0.95,46.333333333333336
1053,Charles,19,M,Artificial Intelligence,3.52,13.0,9.0,6.0,0,4,7,98.88,A-,1.0,0.8571428571428571,0.4,0.30000000000000004,1.0,0.65,67.64285714285714
1054,Susan,27,,Cybersecurity,3.37,14.0,8.0,3.0,4,3,6,69.14,B+,0.8888888888888888,0.42857142857142855,0.3,0.4,0.5,0.7,52.34920634920635
1055,John,21,M,Applications,3.01,24.0,7.0,4.0,3,8,1,99.1,B,0.7777777777777778,0.5714285714285714,0.8,0.9,0.625,1.2,79.23412698412699
1056,Joseph,31,M,Applications,3.04,13.0,6.0,0.0,4,5,5,81.28,B,0.6666666666666666,0.0,0.5,0.5,0.5,0.65,44.833333333333336
1057,Patricia,33,F,Applications,1.98,6.0,4.0,3.0,5,10,3,65.43,D,0.4444444444444444,0.42857142857142855,1.0,0.7,0.375,0.3,58.21031746031746
1059,James,25,M,Networking,3.14,11.0,6.0,3.0,4,4,4,68.35,B,0.6666666666666666,0.42857142857142855,0.4,0.6,0.5,0.55,52.40476190476191
1060,Mary,31,F,Artificial Intelligence,2.57,19.0,9.0,4.0,1,4,2,97.03,C,1.0,0.5714285714285714,0.4,0.8,0.875,0.95,73.67857142857143
1061,Emily,25,F,Cybersecurity,3.41,3.0,4.0,3.0,4,8,2,76.57,A-,0.4444444444444444,0.42857142857142855,0.8,0.8,0.5,0.15,55.96031746031747
1062,Robert,33,M,Cybersecurity,3.28,8.0,7.0,2.0,0,8,3,75.82,B+,0.7777777777777778,0.2857142857142857,0.8,0.7,1.0,0.4,65.26984126984128
1064,Karen,35,F,Applications,3.57,15.0,9.0,5.0,7,2,8,65.88,A-,1.0,0.7142857142857143,0.2,0.19999999999999996,0.125,0.75,51.03571428571429
1065,James,32,M,Data Science,3.14,24.0,7.0,1.0,0,3,7,79.51,B,0.7777777777777778,0.14285714285714285,0.3,0.30000000000000004,1.0,1.2,52.41269841269841
1066,Charles,30,M,Artificial Intelligence,3.45,21.0,8.0,2.0,7,3,6,65.2,A-,0.8888888888888888,0.2857142857142857,0.3,0.4,0.125,1.05,49.242063492063494
1067,Jennifer,26,,Networking,3.6,21.0,7.0,5.0,0,1,9,80.975,A,0.7777777777777778,0.7142857142857143,0.1,0.09999999999999998,1.0,1.05,54.34126984126985
1068,Karen,32,F,Cybersecurity,2.7,20.0,9.0,3.0,0,3,4,74.82,C+,1.0,0.42857142857142855,0.3,0.6,1.0,1.0,66.57142857142857
1070,Patricia,18,F,Data Science,2.94,1.0,9.0,1.0,1,8,8,78.96,B-,1.0,0.14285714285714285,0.8,0.19999999999999996,0.875,0.05,52.10714285714286
1071,Susan,24,F,Cybersecurity,2.71,12.0,4.0,2.0,3,10,7,77.77,C+,0.4444444444444444,0.2857142857142857,1.0,0.30000000000000004,0.625,0.6,52.8531746031746
1072,Alice,26,,Networking,3.61,7.0,3.0,5.0,7,6,7,99.79,A,0.3333333333333333,0.7142857142857143,0.6,0.30000000000000004,0.125,0.35,43.702380952380956
1074,Susan,29,F,Data Science,3.75,12.0,9.0,1.0,0,4,4,80.975,A,1.0,0.14285714285714285,0.4,0.6,1.0,0.6,58.857142857142854
